class_id,name_zh,name_en,crop,category_type,source_dataset,image_count,box_count,median_area_ratio,p05_area_ratio,median_box_width_pixels,median_box_height_pixels,boxes_under_32px
0,玉米叶枯病,Corn leaf blight,玉米,病害,PlantDoc-detection,163,332,0.2620211700533881,0.034496341456414906,321.499998375,349.99999844999996,1
1,番茄斑枯病,Tomato Septoria leaf spot,番茄,病害,PlantDoc-detection,127,380,0.091923635281837,0.02040412985909018,193.50000062499998,215.500000685,4
2,南瓜白粉病,Squash powdery mildew,南瓜,病害,PlantDoc-detection,111,224,0.20391478955812503,0.04569858369983153,411.49999812,348.00000001499996,0
3,马铃薯早疫病,Potato early blight,马铃薯,病害,PlantDoc-detection,98,272,0.09325766216911369,0.0088067531327949,219.00000075,211.000002,2
4,玉米锈病,Corn rust,玉米,病害,PlantDoc-detection,99,110,0.7707167502310487,0.2796109121063035,569.50000032,476.49999913,0
5,番茄细菌性斑点病,Tomato bacterial spot,番茄,病害,PlantDoc-detection,93,219,0.1224777761,0.00872175423125,206.0000005,200.9999992,13
6,番茄晚疫病,Tomato late blight,番茄,病害,PlantDoc-detection,94,195,0.17988266576000003,0.03029088483337448,311.000004,308.00000088,0
7,马铃薯晚疫病,Potato late blight,马铃薯,病害,PlantDoc-detection,90,218,0.1102495620758576,0.0203109736875,239.4999972,241.500000365,1
8,芫菁,Blister beetle,苜蓿及豆科作物,害虫,IP102-detection,425,471,0.2921321344,0.09730186368265076,323.00000207,238.99999725,0
9,蚜虫,Aphids,玉米,害虫,IP102-detection,425,787,0.13763033151999998,0.021914895099375,167.99999832,133.0,4
10,盲蝽科,Mirid bugs (Miridae),葡萄,害虫,IP102-detection,425,427,0.45379213425,0.24754444674500004,387.9999984,334.00000176,0
11,蝼蛄,Mole cricket,玉米,害虫,IP102-detection,425,431,0.40669999754999997,0.2178366073702767,368.0,205.99999820999997,0
12,叶蝉科,Leafhoppers (Cicadellidae),芒果,害虫,IP102-detection,427,430,0.4868703702462963,0.207743104273,408.00000117,288.000000805,0
13,蝗总科,Grasshoppers (Locustoidea),苜蓿,害虫,IP102-detection,425,441,0.234071479477467,0.11363733234000001,278.00000172,215.00000164000002,0
14,蛴螬,White grub,玉米,害虫,IP102-detection,371,578,0.22575851830370372,0.05424697013355373,207.5000007,164.999997,1
15,豆芫菁,Legume blister beetle,苜蓿及豆科作物,害虫,IP102-detection,370,405,0.3289467624212963,0.12847573492362813,186.9999996,145.99999986,1
