relative_path,source_split,source_class,target_class_id,target_class_name,status,reason,canonical_relative_path,bytes,width,height,format,mode,sha256,dhash
test_images/57.Myzus persicae Sulzer/000.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/000.jpg,2699888,3008,2000,JPEG,RGB,6c8bf4cffeb0034c69cdc4050aa4b0a46e02e550536b7643cad33eb64542d84f,499070c0721b45a3
test_images/57.Myzus persicae Sulzer/001.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/57.Myzus persicae Sulzer/120.jpg,train_images/57.Myzus persicae Sulzer/120.jpg,1298228,2272,1704,JPEG,RGB,1b271098b1be9aedb8f0639708c00f9fc30cca542d21b617d3660d51aae4c74a,2d35335b0f594d3d
test_images/57.Myzus persicae Sulzer/002.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/002.jpg,11727433,2272,1704,TIFF,RGB,371d176832163f2eceb3a2d3a5e85491d4e4e5d93c4c48e7a48088fbbcbfd151,371767636767777f
test_images/57.Myzus persicae Sulzer/003.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,3808854,,,,,,
test_images/57.Myzus persicae Sulzer/004.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/004.jpg,3136500,3872,2592,JPEG,RGB,6d6dcccae2c2a48e5801ae1f31c428843e84c2e5ec1e9c722b9dff398a780de8,ede9731e876b00c8
test_images/57.Myzus persicae Sulzer/005.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,20240892,,,,,,
test_images/57.Myzus persicae Sulzer/006.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/006.jpg,19746266,7360,4912,MPO,RGB,26502667333ea291bde564ad93c5ec32015d262ed727b841fb3d02918530f0ef,0458a6a7dfcff3e9
test_images/57.Myzus persicae Sulzer/007.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/57.Myzus persicae Sulzer/077.jpg,train_images/57.Myzus persicae Sulzer/077.jpg,9171999,7360,4912,MPO,RGB,4ad36209c190a9f29a3f26c513f9219d99527bbca0767b0201280c5ae85da3fb,e3f363e6c6dff1c9
test_images/57.Myzus persicae Sulzer/008.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/008.jpg,9296668,7360,4912,MPO,RGB,8e9459a4e9d365fd4df8d27eda3db0e1b0d569b3559d71d7a3942123a0b076bc,8ccc2c1ff1e00381
test_images/57.Myzus persicae Sulzer/009.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,9073840,,,,,,
test_images/57.Myzus persicae Sulzer/010.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/010.jpg,8757843,7360,4912,MPO,RGB,d726d824d5a3b53d90580bba3c2be9e1589498732dfd30f8de6e474399e6ccd0,114444d9932e2616
test_images/57.Myzus persicae Sulzer/011.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/011.jpg,9021379,7360,4912,MPO,RGB,67cd0b9c359eb21f0e587dbb4d108ea3c1b67d5500fcbbb670976cbb4012d133,a964cc5a5b9d9296
test_images/57.Myzus persicae Sulzer/012.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/012.jpg,9349974,7360,4912,MPO,RGB,06dcb1528e8239b65e459c831c47381e9ef04385c01de57bd4bf1bca0c6db7a2,131205291b214cdf
test_images/57.Myzus persicae Sulzer/013.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/013.jpg,9317977,7360,4912,MPO,RGB,8820ac68f4557abe13a58b5004341a27d17f633e637b928dde96598a1c8b2d73,9989260c08603999
test_images/57.Myzus persicae Sulzer/014.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/014.jpg,20702456,7360,4912,MPO,RGB,8b41fa5b373af1cc7062dee0ecd91587d51ed5adbe3e879a5e887b839ce0010c,503625696033a984
test_images/57.Myzus persicae Sulzer/015.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/015.jpg,14373465,7360,4912,MPO,RGB,4914ab2700efb8631cab7fbd42f1e1625fbbeb25faacf0fa7258c6eb41cd8b5e,cdccc0c52c4c5a72
test_images/57.Myzus persicae Sulzer/016.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/016.jpg,1226457,2272,1704,JPEG,RGB,e1344f75d821ecde9351b6f7951ca3a4c2595e18cf75412bd2bcde740735dbd7,38e8cd3682487e13
test_images/57.Myzus persicae Sulzer/017.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/017.jpg,1318677,2272,1704,JPEG,RGB,c829f93565adfb4bbb6e6a1fd606b34605368c1377b7b6bb36f05459466da964,7de3a6bd78f0e0c0
test_images/57.Myzus persicae Sulzer/018.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/018.jpg,1275260,2272,1704,JPEG,RGB,19c6fea584b4cc70c0d2fff1c64482535367a7deb114ec41b369580efce1331d,23762cb5777f677d
test_images/57.Myzus persicae Sulzer/019.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/019.jpg,1301239,2272,1704,JPEG,RGB,497116b315b6e4f64073bc89e86f8e98da37ac05d6c81be1c4384ef1f644525f,3d3487939b3fb723
test_images/57.Myzus persicae Sulzer/020.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/020.jpg,1334358,2272,1704,JPEG,RGB,282ae6d9a51b580d85db6e2404040d4614f41280bea72ea0fa342b32c0018499,194761b0f8f27628
test_images/57.Myzus persicae Sulzer/021.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/021.jpg,1319583,2272,1704,JPEG,RGB,a96726e6b2711126adc860a967a0744e15e6f1369b21c32764307d266b00e2c6,cc813b3737ff1f07
test_images/57.Myzus persicae Sulzer/022.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/022.jpg,1287265,2272,1704,JPEG,RGB,edd7e41e2a4b3c7c0b2e5c880cc160def87b4f85937f5af37983c0e88e875e77,29861d67a62303c0
