review_priority,image_id,source_relative_path,label_relative_path,target_box_count,native_box_count,remapped_box_count,other_box_count,minimum_target_confidence,maximum_target_confidence,flags
P0,p57_test_002_c44c3c09dd31,test_images/57.Myzus persicae Sulzer/002.jpg,labels/p57_test_002_c44c3c09dd31.txt,0,0,0,2,,,no_target_box|other_class_prediction
P0,p57_test_004_912201e0623b,test_images/57.Myzus persicae Sulzer/004.jpg,labels/p57_test_004_912201e0623b.txt,0,0,0,0,,,no_target_box
P0,p57_test_016_ae828f4957f0,test_images/57.Myzus persicae Sulzer/016.jpg,labels/p57_test_016_ae828f4957f0.txt,0,0,0,0,,,no_target_box
P0,p57_test_025_3db96408595a,test_images/57.Myzus persicae Sulzer/025.jpg,labels/p57_test_025_3db96408595a.txt,0,0,0,0,,,no_target_box
P0,p57_test_028_98f7bc39bd8c,test_images/57.Myzus persicae Sulzer/028.jpg,labels/p57_test_028_98f7bc39bd8c.txt,0,0,0,4,,,no_target_box|other_class_prediction
P0,p58_test_007_c97cbacd2018,test_images/58.Aphis gossypii Glover/007.jpg,labels/p58_test_007_c97cbacd2018.txt,0,0,0,0,,,no_target_box
P0,p58_test_011_3767620c8a45,test_images/58.Aphis gossypii Glover/011.jpg,labels/p58_test_011_3767620c8a45.txt,0,0,0,2,,,no_target_box|other_class_prediction
P0,p58_test_014_143b6f774613,test_images/58.Aphis gossypii Glover/014.jpg,labels/p58_test_014_143b6f774613.txt,0,0,0,0,,,no_target_box
P0,p58_test_015_46a93b88a603,test_images/58.Aphis gossypii Glover/015.jpg,labels/p58_test_015_46a93b88a603.txt,0,0,0,1,,,no_target_box|other_class_prediction
P0,p58_test_016_b1b28f9eeea4,test_images/58.Aphis gossypii Glover/016.jpg,labels/p58_test_016_b1b28f9eeea4.txt,0,0,0,0,,,no_target_box
P0,p57_train_002_53e3ff3b5acc,train_images/57.Myzus persicae Sulzer/002.jpg,labels/p57_train_002_53e3ff3b5acc.txt,0,0,0,1,,,no_target_box|other_class_prediction
P0,p57_train_004_b349b6195973,train_images/57.Myzus persicae Sulzer/004.jpg,labels/p57_train_004_b349b6195973.txt,0,0,0,0,,,no_target_box
P0,p57_train_005_ada751551a55,train_images/57.Myzus persicae Sulzer/005.jpg,labels/p57_train_005_ada751551a55.txt,0,0,0,0,,,no_target_box
P0,p57_train_006_0ca3a4362ae3,train_images/57.Myzus persicae Sulzer/006.jpg,labels/p57_train_006_0ca3a4362ae3.txt,0,0,0,0,,,no_target_box
P0,p57_train_009_520ee2b82ee3,train_images/57.Myzus persicae Sulzer/009.jpg,labels/p57_train_009_520ee2b82ee3.txt,0,0,0,3,,,no_target_box|other_class_prediction
P0,p57_train_011_fa7fa5b13ff2,train_images/57.Myzus persicae Sulzer/011.jpg,labels/p57_train_011_fa7fa5b13ff2.txt,0,0,0,0,,,no_target_box
P0,p57_train_013_649e4a04c177,train_images/57.Myzus persicae Sulzer/013.jpg,labels/p57_train_013_649e4a04c177.txt,0,0,0,0,,,no_target_box
P0,p57_train_014_81cddda8e6e4,train_images/57.Myzus persicae Sulzer/014.jpg,labels/p57_train_014_81cddda8e6e4.txt,0,0,0,0,,,no_target_box
P0,p57_train_018_5d195145b191,train_images/57.Myzus persicae Sulzer/018.jpg,labels/p57_train_018_5d195145b191.txt,0,0,0,2,,,no_target_box|other_class_prediction
P0,p57_train_033_fa271404b5f6,train_images/57.Myzus persicae Sulzer/033.jpg,labels/p57_train_033_fa271404b5f6.txt,0,0,0,0,,,no_target_box
P0,p57_train_039_a6334b23f9a7,train_images/57.Myzus persicae Sulzer/039.jpg,labels/p57_train_039_a6334b23f9a7.txt,0,0,0,0,,,no_target_box
P0,p57_train_040_deaab0c952e5,train_images/57.Myzus persicae Sulzer/040.jpg,labels/p57_train_040_deaab0c952e5.txt,0,0,0,0,,,no_target_box
P0,p57_train_041_07f3f7a57239,train_images/57.Myzus persicae Sulzer/041.jpg,labels/p57_train_041_07f3f7a57239.txt,0,0,0,0,,,no_target_box
P0,p57_train_044_630a9699c2d7,train_images/57.Myzus persicae Sulzer/044.jpg,labels/p57_train_044_630a9699c2d7.txt,0,0,0,0,,,no_target_box
P0,p57_train_047_156b56a6af82,train_images/57.Myzus persicae Sulzer/047.jpg,labels/p57_train_047_156b56a6af82.txt,0,0,0,0,,,no_target_box
P0,p57_train_048_c86310658f4b,train_images/57.Myzus persicae Sulzer/048.jpg,labels/p57_train_048_c86310658f4b.txt,0,0,0,0,,,no_target_box
P0,p57_train_049_83b46389e652,train_images/57.Myzus persicae Sulzer/049.jpg,labels/p57_train_049_83b46389e652.txt,0,0,0,0,,,no_target_box
P0,p57_train_052_1d8416b9a04c,train_images/57.Myzus persicae Sulzer/052.jpg,labels/p57_train_052_1d8416b9a04c.txt,0,0,0,0,,,no_target_box
P0,p57_train_053_979566bc11ed,train_images/57.Myzus persicae Sulzer/053.jpg,labels/p57_train_053_979566bc11ed.txt,0,0,0,0,,,no_target_box
P0,p57_train_069_622d96ab7f00,train_images/57.Myzus persicae Sulzer/069.jpg,labels/p57_train_069_622d96ab7f00.txt,0,0,0,0,,,no_target_box
P0,p57_train_073_981895a5b823,train_images/57.Myzus persicae Sulzer/073.jpg,labels/p57_train_073_981895a5b823.txt,0,0,0,0,,,no_target_box
P0,p57_train_085_98ed4672db73,train_images/57.Myzus persicae Sulzer/085.jpg,labels/p57_train_085_98ed4672db73.txt,0,0,0,0,,,no_target_box
P0,p57_train_086_8cb573ba41b2,train_images/57.Myzus persicae Sulzer/086.jpg,labels/p57_train_086_8cb573ba41b2.txt,0,0,0,0,,,no_target_box
P0,p57_train_087_6cc0ba2541d5,train_images/57.Myzus persicae Sulzer/087.jpg,labels/p57_train_087_6cc0ba2541d5.txt,0,0,0,0,,,no_target_box
P0,p57_train_099_c884d7e5d642,train_images/57.Myzus persicae Sulzer/099.jpg,labels/p57_train_099_c884d7e5d642.txt,0,0,0,0,,,no_target_box
P0,p57_train_117_2e92fef08d79,train_images/57.Myzus persicae Sulzer/117.jpg,labels/p57_train_117_2e92fef08d79.txt,0,0,0,0,,,no_target_box
P0,p57_train_121_1f9920712348,train_images/57.Myzus persicae Sulzer/121.jpg,labels/p57_train_121_1f9920712348.txt,0,0,0,0,,,no_target_box
P0,p57_train_126_796c09bbcc01,train_images/57.Myzus persicae Sulzer/126.jpg,labels/p57_train_126_796c09bbcc01.txt,0,0,0,0,,,no_target_box
P0,p57_train_128_b3d8ad19cc62,train_images/57.Myzus persicae Sulzer/128.jpg,labels/p57_train_128_b3d8ad19cc62.txt,0,0,0,0,,,no_target_box
P0,p57_train_129_9d7e553db56a,train_images/57.Myzus persicae Sulzer/129.jpg,labels/p57_train_129_9d7e553db56a.txt,0,0,0,0,,,no_target_box
P0,p57_train_130_2d26145303b3,train_images/57.Myzus persicae Sulzer/130.jpg,labels/p57_train_130_2d26145303b3.txt,0,0,0,0,,,no_target_box
P0,p57_train_141_1a53fcd83e24,train_images/57.Myzus persicae Sulzer/141.jpg,labels/p57_train_141_1a53fcd83e24.txt,0,0,0,0,,,no_target_box
P0,p57_train_185_2833537aaa72,train_images/57.Myzus persicae Sulzer/185.jpg,labels/p57_train_185_2833537aaa72.txt,0,0,0,0,,,no_target_box
P0,p57_train_186_7547e5f8bbc9,train_images/57.Myzus persicae Sulzer/186.jpg,labels/p57_train_186_7547e5f8bbc9.txt,0,0,0,0,,,no_target_box
P0,p57_train_187_096d4184631b,train_images/57.Myzus persicae Sulzer/187.jpg,labels/p57_train_187_096d4184631b.txt,0,0,0,0,,,no_target_box
P0,p57_train_190_2241b9b83f07,train_images/57.Myzus persicae Sulzer/190.jpg,labels/p57_train_190_2241b9b83f07.txt,0,0,0,0,,,no_target_box
P0,p57_train_193_9690270f9732,train_images/57.Myzus persicae Sulzer/193.jpg,labels/p57_train_193_9690270f9732.txt,0,0,0,0,,,no_target_box
P0,p57_train_194_ce426bffb9b4,train_images/57.Myzus persicae Sulzer/194.jpg,labels/p57_train_194_ce426bffb9b4.txt,0,0,0,0,,,no_target_box
P0,p57_train_197_9280d8bf29d4,train_images/57.Myzus persicae Sulzer/197.jpg,labels/p57_train_197_9280d8bf29d4.txt,0,0,0,0,,,no_target_box
P0,p57_train_199_a20edc9872ab,train_images/57.Myzus persicae Sulzer/199.jpg,labels/p57_train_199_a20edc9872ab.txt,0,0,0,0,,,no_target_box
P0,p57_train_200_cab83c666b9c,train_images/57.Myzus persicae Sulzer/200.jpg,labels/p57_train_200_cab83c666b9c.txt,0,0,0,0,,,no_target_box
P0,p57_train_202_44fde3db36bf,train_images/57.Myzus persicae Sulzer/202.jpg,labels/p57_train_202_44fde3db36bf.txt,0,0,0,0,,,no_target_box
P0,p57_train_203_e10e4347573b,train_images/57.Myzus persicae Sulzer/203.jpg,labels/p57_train_203_e10e4347573b.txt,0,0,0,0,,,no_target_box
P0,p57_train_225_30479c6376f7,train_images/57.Myzus persicae Sulzer/225.jpg,labels/p57_train_225_30479c6376f7.txt,0,0,0,0,,,no_target_box
