epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4368,1.2503,6.38379,0.02359,0.01127,0.57109,0.05254,0.02947,1.06132,9.09371,0.02729,0.000164141,0.000164141,0.000164141
2,43.8165,1.1252,5.35921,0.02122,0.38147,0.24755,0.25162,0.13946,1.35383,7.38826,0.03705,0.000330752,0.000330752,0.000330752
3,56.1804,1.2153,4.18461,0.02353,0.396,0.39323,0.37598,0.21194,1.41834,5.30882,0.03874,0.000497137,0.000497137,0.000497137
4,68.1132,1.25328,3.32113,0.02352,0.45336,0.45833,0.41825,0.24302,1.43501,3.91961,0.03922,0.000499237,0.000499237,0.000499237
5,77.9301,1.26626,2.71737,0.02472,0.56269,0.52057,0.53652,0.308,1.5315,2.99384,0.04372,0.000498644,0.000498644,0.000498644
6,87.6458,1.27709,2.35031,0.0248,0.53877,0.53771,0.52438,0.27922,1.58842,2.49532,0.04584,0.000497883,0.000497883,0.000497883
7,97.4276,1.27981,2.14103,0.02491,0.57315,0.59128,0.59339,0.35694,1.45621,1.99649,0.0403,0.000496953,0.000496953,0.000496953
8,111.409,1.27122,1.90272,0.02464,0.61424,0.58444,0.62505,0.3468,1.51821,1.81814,0.04226,0.000495856,0.000495856,0.000495856
9,126.15,1.27053,1.80904,0.02447,0.62802,0.55752,0.6087,0.36278,1.46562,1.82474,0.04038,0.000494592,0.000494592,0.000494592
10,137.759,1.26731,1.72999,0.02456,0.58131,0.61273,0.587,0.33198,1.58162,1.83169,0.04544,0.000493162,0.000493162,0.000493162
11,147.444,1.27278,1.64847,0.02447,0.58463,0.64219,0.64607,0.36636,1.56811,1.49548,0.04441,0.000491567,0.000491567,0.000491567
12,156.992,1.27528,1.56979,0.0244,0.63923,0.65709,0.67648,0.41927,1.46082,1.42211,0.0399,0.000489808,0.000489808,0.000489808
13,167.699,1.24999,1.50797,0.02414,0.67122,0.62603,0.67311,0.40063,1.50546,1.34709,0.04129,0.000487886,0.000487886,0.000487886
14,182.583,1.25181,1.48043,0.02434,0.6908,0.60673,0.69001,0.41609,1.53069,1.43313,0.04264,0.000485804,0.000485804,0.000485804
15,196.624,1.24847,1.42479,0.02386,0.70379,0.66247,0.72551,0.43366,1.50894,1.2708,0.04156,0.000483561,0.000483561,0.000483561
16,206.841,1.25082,1.37951,0.02386,0.71225,0.70291,0.7393,0.44411,1.49124,1.1913,0.04159,0.00048116,0.00048116,0.00048116
17,216.285,1.24306,1.36252,0.02364,0.69452,0.69559,0.71986,0.4403,1.49846,1.20495,0.0418,0.000478603,0.000478603,0.000478603
18,225.896,1.23247,1.29228,0.02345,0.7532,0.67827,0.75203,0.45514,1.49485,1.14014,0.0408,0.00047589,0.00047589,0.00047589
19,237.362,1.23317,1.26633,0.02342,0.71602,0.73021,0.76693,0.46732,1.49338,1.13687,0.04089,0.000473024,0.000473024,0.000473024
20,252.301,1.2289,1.25083,0.02334,0.71018,0.68081,0.7342,0.43621,1.52317,1.1811,0.04224,0.000470007,0.000470007,0.000470007
21,266.351,1.22143,1.2292,0.02295,0.75271,0.73157,0.79498,0.4801,1.50602,1.10271,0.04156,0.000466841,0.000466841,0.000466841
