image_id,source_relative_path,reason
p57_test_000_87845e21fdfb,test_images/57.Myzus persicae Sulzer/000.jpg,source_split:test_images
p57_test_002_c44c3c09dd31,test_images/57.Myzus persicae Sulzer/002.jpg,source_split:test_images
p57_test_004_912201e0623b,test_images/57.Myzus persicae Sulzer/004.jpg,source_split:test_images
p57_test_006_df635e229e60,test_images/57.Myzus persicae Sulzer/006.jpg,source_split:test_images
p57_test_008_60c5008390fc,test_images/57.Myzus persicae Sulzer/008.jpg,source_split:test_images
p57_test_010_357ee35f6d2d,test_images/57.Myzus persicae Sulzer/010.jpg,source_split:test_images
p57_test_011_9a981329f78f,test_images/57.Myzus persicae Sulzer/011.jpg,source_split:test_images
p57_test_012_d14ddb6d3cf9,test_images/57.Myzus persicae Sulzer/012.jpg,source_split:test_images
p57_test_013_63e1fe533377,test_images/57.Myzus persicae Sulzer/013.jpg,source_split:test_images
p57_test_014_5e18fca56607,test_images/57.Myzus persicae Sulzer/014.jpg,source_split:test_images
p57_test_015_2bde865e01fe,test_images/57.Myzus persicae Sulzer/015.jpg,source_split:test_images
p57_test_016_ae828f4957f0,test_images/57.Myzus persicae Sulzer/016.jpg,source_split:test_images
p57_test_017_0fabe4eceef6,test_images/57.Myzus persicae Sulzer/017.jpg,source_split:test_images
p57_test_018_99df413336d4,test_images/57.Myzus persicae Sulzer/018.jpg,source_split:test_images
p57_test_019_476eb8a558a2,test_images/57.Myzus persicae Sulzer/019.jpg,source_split:test_images
p57_test_020_a02179d84675,test_images/57.Myzus persicae Sulzer/020.jpg,source_split:test_images
p57_test_021_80fc23ca661a,test_images/57.Myzus persicae Sulzer/021.jpg,source_split:test_images
p57_test_022_fe55aa05897e,test_images/57.Myzus persicae Sulzer/022.jpg,source_split:test_images
p57_test_023_e14cae295b7c,test_images/57.Myzus persicae Sulzer/023.jpg,source_split:test_images
p57_test_024_858ef00f085b,test_images/57.Myzus persicae Sulzer/024.jpg,source_split:test_images
p57_test_025_3db96408595a,test_images/57.Myzus persicae Sulzer/025.jpg,source_split:test_images
p57_test_026_7abed171852c,test_images/57.Myzus persicae Sulzer/026.jpg,source_split:test_images
p57_test_027_dff7da897666,test_images/57.Myzus persicae Sulzer/027.jpg,source_split:test_images
p57_test_028_98f7bc39bd8c,test_images/57.Myzus persicae Sulzer/028.jpg,source_split:test_images
p57_test_029_be60087e07d6,test_images/57.Myzus persicae Sulzer/029.jpg,source_split:test_images
p57_test_030_1368672141fa,test_images/57.Myzus persicae Sulzer/030.jpg,source_split:test_images
p57_test_031_ef554fb51735,test_images/57.Myzus persicae Sulzer/031.jpg,source_split:test_images
p58_test_003_c89594976520,test_images/58.Aphis gossypii Glover/003.jpg,source_split:test_images
p58_test_005_3a164e4cb78c,test_images/58.Aphis gossypii Glover/005.jpg,source_split:test_images
p58_test_006_84dd42465021,test_images/58.Aphis gossypii Glover/006.jpg,source_split:test_images
p58_test_007_c97cbacd2018,test_images/58.Aphis gossypii Glover/007.jpg,source_split:test_images
p58_test_008_0e410c592a87,test_images/58.Aphis gossypii Glover/008.jpg,source_split:test_images
p58_test_010_0fd4fe275c37,test_images/58.Aphis gossypii Glover/010.jpg,source_split:test_images
p58_test_011_3767620c8a45,test_images/58.Aphis gossypii Glover/011.jpg,source_split:test_images
p58_test_013_ad055c0b6b30,test_images/58.Aphis gossypii Glover/013.jpg,source_split:test_images
p58_test_014_143b6f774613,test_images/58.Aphis gossypii Glover/014.jpg,source_split:test_images
p58_test_015_46a93b88a603,test_images/58.Aphis gossypii Glover/015.jpg,source_split:test_images
p58_test_016_b1b28f9eeea4,test_images/58.Aphis gossypii Glover/016.jpg,source_split:test_images
p57_val_000_2ecdbbe83ad8,val_images/57.Myzus persicae Sulzer/000.jpg,source_split:val_images
p57_val_001_2028426a9047,val_images/57.Myzus persicae Sulzer/001.jpg,source_split:val_images
p57_val_002_7c541b7a6ff6,val_images/57.Myzus persicae Sulzer/002.jpg,source_split:val_images
p57_val_003_ae11b316171e,val_images/57.Myzus persicae Sulzer/003.jpg,source_split:val_images
p57_val_004_177732743a32,val_images/57.Myzus persicae Sulzer/004.jpg,source_split:val_images
p57_val_005_40eb8949c311,val_images/57.Myzus persicae Sulzer/005.jpg,source_split:val_images
p57_val_006_e82073dddfe9,val_images/57.Myzus persicae Sulzer/006.jpg,source_split:val_images
p57_val_012_136612e60bce,val_images/57.Myzus persicae Sulzer/012.jpg,source_split:val_images
p57_val_014_afa23e934522,val_images/57.Myzus persicae Sulzer/014.jpg,source_split:val_images
p57_val_015_85f8af472d23,val_images/57.Myzus persicae Sulzer/015.jpg,source_split:val_images
p57_val_016_aaac61b7cee2,val_images/57.Myzus persicae Sulzer/016.jpg,source_split:val_images
p57_val_017_359730982b70,val_images/57.Myzus persicae Sulzer/017.jpg,source_split:val_images
p57_val_018_004d7fff5414,val_images/57.Myzus persicae Sulzer/018.jpg,source_split:val_images
p57_val_019_1b5d486c1b28,val_images/57.Myzus persicae Sulzer/019.jpg,source_split:val_images
p57_val_020_c8c01080d9f5,val_images/57.Myzus persicae Sulzer/020.jpg,source_split:val_images
p57_val_021_cc3bf3c6044c,val_images/57.Myzus persicae Sulzer/021.jpg,source_split:val_images
p57_val_022_fdbc8b7d1d55,val_images/57.Myzus persicae Sulzer/022.jpg,source_split:val_images
p57_val_024_c0fd361daecc,val_images/57.Myzus persicae Sulzer/024.jpg,source_split:val_images
p57_val_025_9dc2a0d650c9,val_images/57.Myzus persicae Sulzer/025.jpg,source_split:val_images
p57_val_027_155ef6bcb052,val_images/57.Myzus persicae Sulzer/027.jpg,source_split:val_images
p57_val_028_505f2a766f81,val_images/57.Myzus persicae Sulzer/028.jpg,source_split:val_images
p57_val_029_44ccab2d01df,val_images/57.Myzus persicae Sulzer/029.jpg,source_split:val_images
p57_val_030_33d9c6f0b17f,val_images/57.Myzus persicae Sulzer/030.jpg,source_split:val_images
p57_val_031_09c8512bae1a,val_images/57.Myzus persicae Sulzer/031.jpg,source_split:val_images
p58_val_000_56779daaf52f,val_images/58.Aphis gossypii Glover/000.jpg,source_split:val_images
p58_val_001_02d3189eadef,val_images/58.Aphis gossypii Glover/001.jpg,source_split:val_images
p58_val_002_748f4e0085fd,val_images/58.Aphis gossypii Glover/002.jpg,source_split:val_images
p58_val_003_2f8a7ffb08ba,val_images/58.Aphis gossypii Glover/003.jpg,source_split:val_images
p58_val_012_f35e22303896,val_images/58.Aphis gossypii Glover/012.jpg,source_split:val_images
p58_val_015_01fead5ce61e,val_images/58.Aphis gossypii Glover/015.jpg,source_split:val_images
p58_val_016_ab84f790369d,val_images/58.Aphis gossypii Glover/016.jpg,source_split:val_images
p58_val_017_3e1e68e1180a,val_images/58.Aphis gossypii Glover/017.jpg,source_split:val_images
