epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,train/cls_loss,val/cls_loss,metrics/precision(B),metrics/recall(B)
1,7.53021,1.33658,0.27317,1,1.37475,0.00045,0.00045,0.05545,1.33658,1.37475,0.27317,0.27317
2,12.4558,0.96845,0.45854,1,1.29248,0.000947424,0.000947424,0.00594742,0.96845,1.29248,0.45854,0.45854
3,17.3632,0.86632,0.52195,1,1.17011,0.000989183,0.000989183,0.000989183,0.86632,1.17011,0.52195,0.52195
4,22.0435,0.81728,0.62439,1,1.69872,0.000975773,0.000975773,0.000975773,0.81728,1.69872,0.62439,0.62439
5,26.7569,0.76039,0.66829,1,0.98229,0.000957205,0.000957205,0.000957205,0.76039,0.98229,0.66829,0.66829
6,31.062,0.77058,0.62439,1,0.87084,0.000933683,0.000933683,0.000933683,0.77058,0.87084,0.62439,0.62439
7,35.551,0.67279,0.68293,1,0.78,0.000905463,0.000905463,0.000905463,0.67279,0.78,0.68293,0.68293
8,40.4426,0.64284,0.65366,1,0.92732,0.000872857,0.000872857,0.000872857,0.64284,0.92732,0.65366,0.65366
9,45.467,0.60953,0.67805,1,0.70808,0.00083622,0.00083622,0.00083622,0.60953,0.70808,0.67805,0.67805
10,50.0522,0.56395,0.70244,1,0.74239,0.000795954,0.000795954,0.000795954,0.56395,0.74239,0.70244,0.70244
11,53.8536,0.57092,0.71707,1,0.77356,0.0007525,0.0007525,0.0007525,0.57092,0.77356,0.71707,0.71707
12,58.3673,0.51834,0.72195,1,0.76524,0.000706335,0.000706335,0.000706335,0.51834,0.76524,0.72195,0.72195
13,62.6476,0.53524,0.73171,1,0.69289,0.000657963,0.000657963,0.000657963,0.53524,0.69289,0.73171,0.73171
14,66.9559,0.46458,0.74146,1,0.81653,0.000607916,0.000607916,0.000607916,0.46458,0.81653,0.74146,0.74146
15,71.6549,0.4552,0.71707,1,0.7438,0.000556742,0.000556742,0.000556742,0.4552,0.7438,0.71707,0.71707
16,75.6511,0.42221,0.76098,1,0.69498,0.000505,0.000505,0.000505,0.42221,0.69498,0.76098,0.76098
17,79.952,0.42121,0.76098,1,0.61251,0.000453258,0.000453258,0.000453258,0.42121,0.61251,0.76098,0.76098
18,84.4598,0.37243,0.78049,1,0.63827,0.000402084,0.000402084,0.000402084,0.37243,0.63827,0.78049,0.78049
19,89.0304,0.35008,0.77561,1,0.64681,0.000352037,0.000352037,0.000352037,0.35008,0.64681,0.77561,0.77561
20,93.7358,0.37469,0.74146,1,0.7087,0.000303665,0.000303665,0.000303665,0.37469,0.7087,0.74146,0.74146
21,101.441,0.38778,0.78537,1,0.66,0.0002575,0.0002575,0.0002575,0.38778,0.66,0.78537,0.78537
22,106.056,0.33214,0.76585,1,0.65111,0.000214046,0.000214046,0.000214046,0.33214,0.65111,0.76585,0.76585
23,111.035,0.31452,0.76098,1,0.63873,0.00017378,0.00017378,0.00017378,0.31452,0.63873,0.76098,0.76098
24,115.647,0.30443,0.77073,1,0.66254,0.000137143,0.000137143,0.000137143,0.30443,0.66254,0.77073,0.77073
25,120.034,0.28643,0.8,1,0.66614,0.000104537,0.000104537,0.000104537,0.28643,0.66614,0.8,0.8
26,124.643,0.2947,0.76585,1,0.66123,7.63174e-05,7.63174e-05,7.63174e-05,0.2947,0.66123,0.76585,0.76585
27,128.865,0.27476,0.76585,1,0.6738,5.2795e-05,5.2795e-05,5.2795e-05,0.27476,0.6738,0.76585,0.76585
28,132.745,0.27033,0.76585,1,0.66312,3.4227e-05,3.4227e-05,3.4227e-05,0.27033,0.66312,0.76585,0.76585
29,136.751,0.25424,0.78049,1,0.66442,2.08169e-05,2.08169e-05,2.08169e-05,0.25424,0.66442,0.78049,0.78049
30,141.347,0.2772,0.77073,1,0.67137,1.27117e-05,1.27117e-05,1.27117e-05,0.2772,0.67137,0.77073,0.77073
