epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,train/cls_loss,val/cls_loss,metrics/precision(B),metrics/recall(B)
1,10.556,1.28458,0.3122,1,1.35766,0.00045,0.00045,0.05545,1.28458,1.35766,0.3122,0.3122
2,16.0339,0.89298,0.36585,1,1.40295,0.000947424,0.000947424,0.00594742,0.89298,1.40295,0.36585,0.36585
3,21.2259,0.79944,0.58049,1,1.04716,0.000989183,0.000989183,0.000989183,0.79944,1.04716,0.58049,0.58049
4,26.5233,0.75127,0.53171,1,1.09468,0.000975773,0.000975773,0.000975773,0.75127,1.09468,0.53171,0.53171
5,31.7134,0.72134,0.67805,1,0.97401,0.000957205,0.000957205,0.000957205,0.72134,0.97401,0.67805,0.67805
6,37.3168,0.67172,0.64878,1,1.20123,0.000933683,0.000933683,0.000933683,0.67172,1.20123,0.64878,0.64878
7,43.3242,0.62151,0.67317,1,0.80348,0.000905463,0.000905463,0.000905463,0.62151,0.80348,0.67317,0.67317
8,48.5363,0.59543,0.61463,1,1.09186,0.000872857,0.000872857,0.000872857,0.59543,1.09186,0.61463,0.61463
9,54.2284,0.5449,0.69756,1,0.83736,0.00083622,0.00083622,0.00083622,0.5449,0.83736,0.69756,0.69756
10,59.5239,0.50944,0.7122,1,0.68595,0.000795954,0.000795954,0.000795954,0.50944,0.68595,0.7122,0.7122
11,64.6343,0.51176,0.74634,1,0.68785,0.0007525,0.0007525,0.0007525,0.51176,0.68785,0.74634,0.74634
12,70.1028,0.46746,0.7561,1,0.65179,0.000706335,0.000706335,0.000706335,0.46746,0.65179,0.7561,0.7561
13,75.4336,0.47403,0.72195,1,0.69886,0.000657963,0.000657963,0.000657963,0.47403,0.69886,0.72195,0.72195
14,80.8416,0.40192,0.74146,1,0.65439,0.000607916,0.000607916,0.000607916,0.40192,0.65439,0.74146,0.74146
15,86.6425,0.41666,0.72683,1,0.66597,0.000556742,0.000556742,0.000556742,0.41666,0.66597,0.72683,0.72683
16,92.0375,0.35708,0.77073,1,0.71993,0.000505,0.000505,0.000505,0.35708,0.71993,0.77073,0.77073
17,97.5426,0.38102,0.76585,1,0.62283,0.000453258,0.000453258,0.000453258,0.38102,0.62283,0.76585,0.76585
18,103.132,0.34258,0.75122,1,0.69678,0.000402084,0.000402084,0.000402084,0.34258,0.69678,0.75122,0.75122
19,108.129,0.28178,0.76098,1,0.74493,0.000352037,0.000352037,0.000352037,0.28178,0.74493,0.76098,0.76098
20,113.32,0.2993,0.77561,1,0.66192,0.000303665,0.000303665,0.000303665,0.2993,0.66192,0.77561,0.77561
21,122.733,0.3021,0.78049,1,0.59672,0.0002575,0.0002575,0.0002575,0.3021,0.59672,0.78049,0.78049
22,128.227,0.26828,0.83415,1,0.57065,0.000214046,0.000214046,0.000214046,0.26828,0.57065,0.83415,0.83415
23,134.237,0.26133,0.8,1,0.60619,0.00017378,0.00017378,0.00017378,0.26133,0.60619,0.8,0.8
24,139.937,0.2597,0.79512,1,0.64026,0.000137143,0.000137143,0.000137143,0.2597,0.64026,0.79512,0.79512
25,145.725,0.23718,0.78537,1,0.6416,0.000104537,0.000104537,0.000104537,0.23718,0.6416,0.78537,0.78537
26,150.734,0.23026,0.78537,1,0.65235,7.63174e-05,7.63174e-05,7.63174e-05,0.23026,0.65235,0.78537,0.78537
27,155.897,0.21946,0.78049,1,0.6606,5.2795e-05,5.2795e-05,5.2795e-05,0.21946,0.6606,0.78049,0.78049
28,161.239,0.22217,0.79024,1,0.66018,3.4227e-05,3.4227e-05,3.4227e-05,0.22217,0.66018,0.79024,0.79024
29,167.42,0.2266,0.8,1,0.66562,2.08169e-05,2.08169e-05,2.08169e-05,0.2266,0.66562,0.8,0.8
30,173.236,0.22152,0.8,1,0.67109,1.27117e-05,1.27117e-05,1.27117e-05,0.22152,0.67109,0.8,0.8
