split,image,target_class,reason,best_iou,best_prediction_class,best_prediction_confidence,ground_truth_count,target_prediction_count
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00003_fd0db6b5a9.jpg,0,false_positive,0.0,0,0.8696534633636475,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00005_3366e15e0b.jpg,1,false_positive,0.0,1,0.7290499806404114,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00006_17b08bc7c5.jpg,1,false_positive,0.0,1,0.4530767798423767,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00008_d0b9f08894.jpg,1,false_positive,0.0,1,0.9011622667312622,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00011_c67b4fb391.jpg,1,false_positive,0.0,1,0.4229072332382202,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00025_9cef30e3a9.jpg,0,missed_or_low_iou,0.011431909682204996,0,0.6917170286178589,2,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00026_55d2fb0b71.jpg,0,false_positive,0.0,0,0.753883957862854,0,2
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00026_55d2fb0b71.jpg,0,false_positive,0.0,0,0.47391247749328613,0,2
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00035_08d5cdc0d3.jpg,1,missed_or_low_iou,0.4788007838415189,1,0.8986837267875671,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00035_08d5cdc0d3.jpg,1,false_positive,0.4788007838415189,1,0.8986837267875671,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00041_f6bd53113e.jpg,1,false_positive,0.0,1,0.7043356895446777,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00047_619378f101.jpg,0,missed_or_low_iou,0.0,,0.0,2,0
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00047_619378f101.jpg,0,missed_or_low_iou,0.0,,0.0,2,0
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00049_b54a797fed.jpg,1,missed_or_low_iou,0.49277052587630216,0,0.7485491037368774,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00049_b54a797fed.jpg,0,false_positive,0.49277052587630216,0,0.7485491037368774,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00060_5f717c2d2d.jpg,0,false_positive,0.0,0,0.8955169320106506,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00061_a8b70d7b6d.jpg,1,false_positive,0.0,1,0.40882036089897156,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v1/eval/images/official_eval/official_official_val_00066_f350244d9b.jpg,1,false_positive,0.0,1,0.4787416160106659,0,1
