split,image,target_class,reason,best_iou,best_prediction_class,best_prediction_confidence,ground_truth_count,target_prediction_count
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00003_fd0db6b5a9.jpg,0,false_positive,0.0,0,0.9253872632980347,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00005_3366e15e0b.jpg,1,false_positive,0.0,1,0.5995802879333496,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00019_8d29eaf035.jpg,0,false_positive,0.4718884918645606,0,0.3145403265953064,1,2
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00025_9cef30e3a9.jpg,0,missed_or_low_iou,0.015318599694321188,0,0.8563974499702454,2,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00026_55d2fb0b71.jpg,0,false_positive,0.0,0,0.8599874377250671,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00035_08d5cdc0d3.jpg,1,missed_or_low_iou,0.4834390066829671,1,0.9315776228904724,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00035_08d5cdc0d3.jpg,1,false_positive,0.4834390066829671,1,0.9315776228904724,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00047_619378f101.jpg,0,missed_or_low_iou,0.0,,0.0,2,0
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00047_619378f101.jpg,0,missed_or_low_iou,0.0,,0.0,2,0
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00049_b54a797fed.jpg,1,wrong_class_confusion,0.5641313181284568,0,0.5925692915916443,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00060_5f717c2d2d.jpg,0,false_positive,0.0,0,0.8552653789520264,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00066_f350244d9b.jpg,1,false_positive,0.0,1,0.5546172261238098,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00074_2f74c9659c.jpg,0,false_positive,0.0,0,0.5781307220458984,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00076_ca7b8dfc1b.jpg,1,false_positive,0.0,1,0.6069614291191101,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00082_a1c6637d4b.jpg,0,false_positive,0.0,0,0.6615200638771057,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00092_46f132931f.jpg,1,false_positive,0.0,1,0.437012642621994,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00095_fa587f1f98.jpg,1,false_positive,0.0,1,0.2956620752811432,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00098_ceb1a829d5.jpg,0,missed_or_low_iou,0.0,,0.0,1,0
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00100_4a2a8ccba2.jpg,1,false_positive,0.0,1,0.6034066081047058,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00128_182e51dc7e.jpg,1,false_positive,0.0,1,0.8685824871063232,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00131_02de783df3.jpg,1,false_positive,0.0,1,0.9328166842460632,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00138_68b713c9aa.jpg,1,wrong_class_confusion,0.6012751513995205,0,0.8454630970954895,1,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00140_b173c14db6.jpg,1,false_positive,0.0,1,0.895432710647583,0,1
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00149_15b3240791.jpg,0,missed_or_low_iou,0.0,,0.0,2,0
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00149_15b3240791.jpg,0,missed_or_low_iou,0.0,,0.0,2,0
official,/root/autodl-tmp/crop-pest-system/data/experiments/weak-expert-v2-full-public10/eval/images/official_eval/official_official_val_00152_ca12c2f45f.jpg,0,missed_or_low_iou,0.0,,0.0,1,0
