epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,train/cls_loss,val/cls_loss,metrics/precision(B),metrics/recall(B)
1,9.86234,0.73518,0.55035,1,1.14625,0.000484848,0.000484848,0.052,0.73518,1.14625,0.55035,0.55035
2,14.5226,0.56373,0.7066,1,0.69207,0.000982178,0.000982178,0.00249733,0.56373,0.69207,0.7066,0.7066
3,20.7097,0.54503,0.69965,1,0.9513,0.000989183,0.000989183,0.000989183,0.54503,0.9513,0.69965,0.69965
4,26.6533,0.51282,0.77431,1,0.58853,0.000975773,0.000975773,0.000975773,0.51282,0.58853,0.77431,0.77431
5,32.7591,0.46197,0.79514,1,0.55039,0.000957205,0.000957205,0.000957205,0.46197,0.55039,0.79514,0.79514
6,38.9242,0.39398,0.80382,1,0.54904,0.000933683,0.000933683,0.000933683,0.39398,0.54904,0.80382,0.80382
7,45.1865,0.36338,0.78819,1,0.85914,0.000905463,0.000905463,0.000905463,0.36338,0.85914,0.78819,0.78819
8,51.2497,0.3591,0.78472,1,0.64786,0.000872857,0.000872857,0.000872857,0.3591,0.64786,0.78472,0.78472
9,57.1485,0.32536,0.80556,1,0.79994,0.00083622,0.00083622,0.00083622,0.32536,0.79994,0.80556,0.80556
10,63.2586,0.29905,0.80903,1,0.66368,0.000795954,0.000795954,0.000795954,0.29905,0.66368,0.80903,0.80903
11,69.3215,0.26894,0.81076,1,0.61863,0.0007525,0.0007525,0.0007525,0.26894,0.61863,0.81076,0.81076
12,75.3232,0.26708,0.81597,1,0.65277,0.000706335,0.000706335,0.000706335,0.26708,0.65277,0.81597,0.81597
13,81.1937,0.24915,0.8125,1,0.78493,0.000657963,0.000657963,0.000657963,0.24915,0.78493,0.8125,0.8125
14,87.1263,0.23261,0.82639,1,0.76992,0.000607916,0.000607916,0.000607916,0.23261,0.76992,0.82639,0.82639
15,93.2348,0.18183,0.83333,1,0.61563,0.000556742,0.000556742,0.000556742,0.18183,0.61563,0.83333,0.83333
16,99.2686,0.21168,0.8316,1,0.65338,0.000505,0.000505,0.000505,0.21168,0.65338,0.8316,0.8316
17,105.116,0.18164,0.81424,1,0.67787,0.000453258,0.000453258,0.000453258,0.18164,0.67787,0.81424,0.81424
18,111.014,0.14902,0.82812,1,0.64688,0.000402084,0.000402084,0.000402084,0.14902,0.64688,0.82812,0.82812
19,117.179,0.13567,0.84549,1,0.71023,0.000352037,0.000352037,0.000352037,0.13567,0.71023,0.84549,0.84549
20,123.083,0.14026,0.84722,1,0.69446,0.000303665,0.000303665,0.000303665,0.14026,0.69446,0.84722,0.84722
21,130.478,0.13332,0.85069,1,0.60642,0.0002575,0.0002575,0.0002575,0.13332,0.60642,0.85069,0.85069
22,136.746,0.12396,0.82812,1,0.64654,0.000214046,0.000214046,0.000214046,0.12396,0.64654,0.82812,0.82812
23,142.891,0.11932,0.82986,1,0.67669,0.00017378,0.00017378,0.00017378,0.11932,0.67669,0.82986,0.82986
24,149.176,0.10298,0.83681,1,0.76479,0.000137143,0.000137143,0.000137143,0.10298,0.76479,0.83681,0.83681
25,155.403,0.09383,0.83854,1,0.73141,0.000104537,0.000104537,0.000104537,0.09383,0.73141,0.83854,0.83854
26,161.448,0.08997,0.84201,1,0.67787,7.63174e-05,7.63174e-05,7.63174e-05,0.08997,0.67787,0.84201,0.84201
27,167.549,0.08945,0.85417,1,0.78904,5.2795e-05,5.2795e-05,5.2795e-05,0.08945,0.78904,0.85417,0.85417
28,173.541,0.08944,0.85243,1,0.65954,3.4227e-05,3.4227e-05,3.4227e-05,0.08944,0.65954,0.85243,0.85243
29,179.807,0.07745,0.84549,1,0.66388,2.08169e-05,2.08169e-05,2.08169e-05,0.07745,0.66388,0.84549,0.84549
30,185.68,0.07665,0.85417,1,0.75624,1.27117e-05,1.27117e-05,1.27117e-05,0.07665,0.75624,0.85417,0.85417
