epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9966,1.34038,6.51893,0.02536,0.01542,0.2639,0.0366,0.01963,1.09094,9.20597,0.0283,0.000163462,0.000163462,0.000163462
2,34.8698,1.15892,5.65366,0.02129,0.67816,0.15634,0.19665,0.10307,1.41645,7.99691,0.03911,0.000330072,0.000330072,0.000330072
3,42.5308,1.25365,4.53754,0.02411,0.32876,0.35738,0.3236,0.17174,1.49243,5.95721,0.04167,0.000496458,0.000496458,0.000496458
4,50.3095,1.32093,3.63905,0.02483,0.41413,0.46588,0.41397,0.23154,1.51012,4.41436,0.04213,0.000499237,0.000499237,0.000499237
5,57.9361,1.31876,2.97241,0.02505,0.43892,0.52168,0.48087,0.27036,1.48454,3.46014,0.0404,0.000498644,0.000498644,0.000498644
6,65.6391,1.33351,2.60083,0.02558,0.49703,0.49913,0.5228,0.28825,1.55095,2.83313,0.04326,0.000497883,0.000497883,0.000497883
7,73.2645,1.31747,2.32775,0.02531,0.52582,0.50931,0.5189,0.30517,1.51818,2.51861,0.04255,0.000496953,0.000496953,0.000496953
8,80.7277,1.31495,2.12623,0.0253,0.53155,0.56843,0.54816,0.31875,1.48243,2.08056,0.04068,0.000495856,0.000495856,0.000495856
9,88.0779,1.31995,1.96208,0.02524,0.52225,0.57097,0.54949,0.31716,1.46246,1.97502,0.04024,0.000494592,0.000494592,0.000494592
10,95.6319,1.30097,1.8642,0.02461,0.56289,0.56381,0.56625,0.33449,1.47959,1.83231,0.04081,0.000493162,0.000493162,0.000493162
11,103.333,1.31507,1.76085,0.02491,0.56926,0.57123,0.60108,0.35134,1.5201,1.65319,0.04235,0.000491567,0.000491567,0.000491567
12,111.163,1.29521,1.72773,0.02471,0.6457,0.56923,0.61176,0.35643,1.52251,1.5871,0.04213,0.000489808,0.000489808,0.000489808
13,118.869,1.29734,1.66587,0.02471,0.5881,0.62437,0.62355,0.368,1.48689,1.57059,0.04055,0.000487886,0.000487886,0.000487886
14,126.725,1.30926,1.58135,0.02487,0.5162,0.60291,0.56577,0.31292,1.59151,1.63223,0.04461,0.000485804,0.000485804,0.000485804
15,134.501,1.30192,1.55679,0.02463,0.62916,0.57246,0.61567,0.35492,1.5248,1.50511,0.04273,0.000483561,0.000483561,0.000483561
16,142.286,1.29622,1.52048,0.02442,0.5958,0.5841,0.59885,0.34822,1.54011,1.52073,0.04244,0.00048116,0.00048116,0.00048116
17,149.9,1.29716,1.46938,0.0246,0.58982,0.6245,0.62916,0.3616,1.53194,1.45248,0.04203,0.000478603,0.000478603,0.000478603
18,157.597,1.29287,1.43411,0.02471,0.63517,0.58775,0.6255,0.35969,1.53763,1.40996,0.04292,0.00047589,0.00047589,0.00047589
19,165.399,1.28798,1.39598,0.02431,0.67769,0.58559,0.63297,0.36598,1.54551,1.45737,0.04296,0.000473024,0.000473024,0.000473024
20,172.92,1.2805,1.36291,0.0242,0.60077,0.57999,0.61068,0.36221,1.51097,1.40888,0.04134,0.000470007,0.000470007,0.000470007
21,180.706,1.27756,1.33988,0.02428,0.61801,0.57585,0.62372,0.3633,1.55482,1.38053,0.04267,0.000466841,0.000466841,0.000466841
22,188.369,1.26008,1.31332,0.02372,0.64408,0.63572,0.6491,0.36606,1.55641,1.34581,0.04388,0.000463528,0.000463528,0.000463528
23,196.175,1.26787,1.30014,0.02357,0.64836,0.63827,0.66214,0.38688,1.53308,1.24853,0.04279,0.000460071,0.000460071,0.000460071
24,203.838,1.25172,1.26981,0.02324,0.66835,0.61283,0.65212,0.38219,1.51989,1.28115,0.04163,0.000456471,0.000456471,0.000456471
25,211.614,1.24652,1.25524,0.02329,0.66135,0.62662,0.65965,0.38835,1.52267,1.32715,0.04178,0.000452732,0.000452732,0.000452732
26,219.31,1.23021,1.22218,0.02328,0.63946,0.61214,0.64314,0.3588,1.62365,1.39363,0.04627,0.000448855,0.000448855,0.000448855
27,226.894,1.23347,1.20811,0.02322,0.58173,0.64529,0.63373,0.36939,1.53645,1.34925,0.04204,0.000444844,0.000444844,0.000444844
28,234.689,1.23687,1.17306,0.02297,0.65458,0.61211,0.64942,0.37222,1.55754,1.37242,0.04273,0.0004407,0.0004407,0.0004407
29,242.397,1.22384,1.17876,0.02261,0.6772,0.61254,0.6645,0.38116,1.54492,1.214,0.04254,0.000436428,0.000436428,0.000436428
30,250.099,1.21246,1.14959,0.02282,0.6913,0.6311,0.67278,0.38992,1.54857,1.24379,0.0428,0.00043203,0.00043203,0.00043203
