canonical_class	severity_level	treatment_pair_id	knowledge_document	exact_treatment_heading	treatment_section_sha256	source_id	source_title	source_url	source_type	source_location_in_document	resolution_status	notes
玉米叶枯病	轻度	玉米叶枯病-轻度	knowledge\baidu-baike-20260818\documents\00.md	### 轻度	4FD94D776826F7B017A88456C39122ADE4DCF659342A80D61A5E46F3EDB32AB2	03-T1	玉米链格孢菌叶枯病	https://www.ttxn.com/zp/S2JyK2RsUXJlc0ZlYXVLb3J1UnNlUT09.html	识农AI / 天天学农	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
玉米叶枯病	中度	玉米叶枯病-中度	knowledge\baidu-baike-20260818\documents\00.md	### 中度	3787CEDE8DF09EB16918D3361BCEA3985655424A4550244FE8873C7347EDDA6D	03-T1; 03-T2	玉米链格孢菌叶枯病 | Baseline Sensitivity and Toxicity Mechanisms of Prochloraz to Alternaria alternata Strains Associated with Maize Leaf Blight in Heilongjiang Province in China	https://www.ttxn.com/zp/S2JyK2RsUXJlc0ZlYXVLb3J1UnNlUT09.html | https://apsjournals.apsnet.org/doi/10.1094/PDIS-04-24-0913-RE	识农AI / 天天学农 | Plant Disease / APS	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
玉米叶枯病	重度	玉米叶枯病-重度	knowledge\baidu-baike-20260818\documents\00.md	### 重度	21CB27D8EEFFC2BAFB255F599AEE0D39D109D768948771D93E9686C6333AB3E9	03-T1; 03-T2	玉米链格孢菌叶枯病 | Baseline Sensitivity and Toxicity Mechanisms of Prochloraz to Alternaria alternata Strains Associated with Maize Leaf Blight in Heilongjiang Province in China	https://www.ttxn.com/zp/S2JyK2RsUXJlc0ZlYXVLb3J1UnNlUT09.html | https://apsjournals.apsnet.org/doi/10.1094/PDIS-04-24-0913-RE	识农AI / 天天学农 | Plant Disease / APS	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄斑枯病	轻度	番茄斑枯病-轻度	knowledge\baidu-baike-20260818\documents\01.md	### 轻度	094D3DCE0D9124D465AAC774CFA471386EB09A3D3DB78E871E260B8B5B84B1AB	05-T1; 05-T2	Septoria Leaf Spot of Tomatoes | 蔬菜绿色生产病虫害防治用药指南	https://www.extension.umd.edu/resource/septoria-leaf-spot-tomatoes | https://www.huaihua.gov.cn/nyncj/c108787/202101/a2bc0e93fd334af3ad2dbc911bfa9c52.shtml	University of Maryland Extension | 怀化市农业农村局	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄斑枯病	中度	番茄斑枯病-中度	knowledge\baidu-baike-20260818\documents\01.md	### 中度	E9838106CA19C646C7E1E945663DF31560CD856A1B9B0B24B8A34DA1F70DDCF4	05-T1; 05-T2	Septoria Leaf Spot of Tomatoes | 蔬菜绿色生产病虫害防治用药指南	https://www.extension.umd.edu/resource/septoria-leaf-spot-tomatoes | https://www.huaihua.gov.cn/nyncj/c108787/202101/a2bc0e93fd334af3ad2dbc911bfa9c52.shtml	University of Maryland Extension | 怀化市农业农村局	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄斑枯病	重度	番茄斑枯病-重度	knowledge\baidu-baike-20260818\documents\01.md	### 重度	4C2F64D3D6AAF492B53FB16E6E1B983C8EA95602376A158629B26219033FAD8C	05-T1; 05-T2	Septoria Leaf Spot of Tomatoes | 蔬菜绿色生产病虫害防治用药指南	https://www.extension.umd.edu/resource/septoria-leaf-spot-tomatoes | https://www.huaihua.gov.cn/nyncj/c108787/202101/a2bc0e93fd334af3ad2dbc911bfa9c52.shtml	University of Maryland Extension | 怀化市农业农村局	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
南瓜白粉病	轻度	南瓜白粉病-轻度	knowledge\baidu-baike-20260818\documents\02.md	### 轻度	A101CEA55CE15343E877FE298C3B589797EA964FF07312CA2AE37C9BE1B1D890	01-T1; 01-T2; 01-T3	瓜類病蟲害及防治 | 黑龙江省近期多雨极端天气条件下蔬菜生产指导意见 | 棚室蔬菜病虫害防治技术	https://book.tndais.gov.tw/Magazine/mag10-7.htm | https://nynct.hlj.gov.cn/nynct/c115394/202406/c00_31745814.shtml | https://nynct.hlj.gov.cn/nynct/c115394/202505/c00_31843153.shtml	台南区农业改良场技术资料 | 黑龙江省农业农村厅 | 黑龙江省农业农村厅	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
南瓜白粉病	中度	南瓜白粉病-中度	knowledge\baidu-baike-20260818\documents\02.md	### 中度	953D48E0860EBC2C4A271D422DCE85FFB7C90492E1D2A7960146466BE62D9123	01-T1; 01-T2; 01-T3	瓜類病蟲害及防治 | 黑龙江省近期多雨极端天气条件下蔬菜生产指导意见 | 棚室蔬菜病虫害防治技术	https://book.tndais.gov.tw/Magazine/mag10-7.htm | https://nynct.hlj.gov.cn/nynct/c115394/202406/c00_31745814.shtml | https://nynct.hlj.gov.cn/nynct/c115394/202505/c00_31843153.shtml	台南区农业改良场技术资料 | 黑龙江省农业农村厅 | 黑龙江省农业农村厅	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
南瓜白粉病	重度	南瓜白粉病-重度	knowledge\baidu-baike-20260818\documents\02.md	### 重度	04EFB72ACFB553EF3AE8DD0DBC2F43C3FD625618F5A96A84C4EA7D8294CCDDD5	01-T1; 01-T2; 01-T3	瓜類病蟲害及防治 | 黑龙江省近期多雨极端天气条件下蔬菜生产指导意见 | 棚室蔬菜病虫害防治技术	https://book.tndais.gov.tw/Magazine/mag10-7.htm | https://nynct.hlj.gov.cn/nynct/c115394/202406/c00_31745814.shtml | https://nynct.hlj.gov.cn/nynct/c115394/202505/c00_31843153.shtml	台南区农业改良场技术资料 | 黑龙江省农业农村厅 | 黑龙江省农业农村厅	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
马铃薯早疫病	轻度	马铃薯早疫病-轻度	knowledge\baidu-baike-20260818\documents\03.md	### 轻度	41020E5FF15939807B4E5FCE9A258A2B1F4CF8CC943E6F689C3EDB1E2D7CF447	15-T1; 15-T2	2026年马铃薯重大病虫害防控技术方案 | 2025年粮食作物重大病虫害防控技术方案	https://nyj.nanyang.gov.cn/2026/03-31/1394358.html | https://www.agri.cn/sc/nszd/202502/t20250228_8758867.htm	南阳市农业农村局 | 中国农业农村信息网 / 全国农技中心	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
马铃薯早疫病	中度	马铃薯早疫病-中度	knowledge\baidu-baike-20260818\documents\03.md	### 中度	62725F5B0D04CFA548525495F98111DF1A6CA60C99BC0C1953BB76E32DE9388D	15-T1	2026年马铃薯重大病虫害防控技术方案	https://nyj.nanyang.gov.cn/2026/03-31/1394358.html	南阳市农业农村局	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
马铃薯早疫病	重度	马铃薯早疫病-重度	knowledge\baidu-baike-20260818\documents\03.md	### 重度	16CF8148AD276F23E5851B3EA7C509FCD958FD7E62DAE9352A135D83831F3FC0	15-T1; 15-T3	2026年马铃薯重大病虫害防控技术方案 | 马铃薯贮藏保鲜操作规程	https://nyj.nanyang.gov.cn/2026/03-31/1394358.html | https://scs.moa.gov.cn/ccll/jszn/202302/t20230203_6419765.htm	南阳市农业农村局 | 农业农村部农产品冷链物流标准化技术委员会	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
玉米锈病	轻度	玉米锈病-轻度	knowledge\baidu-baike-20260818\documents\04.md	### 轻度	FE17A3556F5B88D53BE270DEBB8750D28C9F88FAD140EEC350C050355773D3BE	04-T1; 04-T2	合川区植保植检信息 第五期 | 玉米南方锈病防控技术指导意见	https://www.hc.gov.cn/bmjd/bm_100475/nyncw/zwxx_101376/dt_101378/202606/t20260609_15740893.html | https://jnny.jinan.gov.cn/col562/art/2024/art_562_4787817.html	重庆市合川区人民政府 / 区农业农村委 | 济南市农业农村局	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
玉米锈病	中度	玉米锈病-中度	knowledge\baidu-baike-20260818\documents\04.md	### 中度	AE6C3B55C99E5E219927612E1AF5449A7DE3334D45DDAF9D1327AF613FD99197	04-T2	玉米南方锈病防控技术指导意见	https://jnny.jinan.gov.cn/col562/art/2024/art_562_4787817.html	济南市农业农村局	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
玉米锈病	重度	玉米锈病-重度	knowledge\baidu-baike-20260818\documents\04.md	### 重度	32250DD8DEE154C1348FA1FA51BE8AD6822EF052C3FC0F8A7D0847FC01337B4B	04-T2	玉米南方锈病防控技术指导意见	https://jnny.jinan.gov.cn/col562/art/2024/art_562_4787817.html	济南市农业农村局	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄细菌性斑点病	轻度	番茄细菌性斑点病-轻度	knowledge\baidu-baike-20260818\documents\05.md	### 轻度	60D1A117750AB9AA889475B3F0E36DFD8EDD62A22E25F76B20515EBBF55DC5D1	07-T1	Bacterial Speck / Tomato / Agriculture: Pest Management Guidelines	https://ipm.ucanr.edu/agriculture/tomato/bacterial-speck/	UC Statewide IPM Program	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄细菌性斑点病	中度	番茄细菌性斑点病-中度	knowledge\baidu-baike-20260818\documents\05.md	### 中度	29B107941540AC9BE5BA13B789DEE5575FCD1D2ABF96B5A46C4B5AEC29B4CCDE	07-T1; 07-T2	Bacterial Speck / Tomato / Agriculture: Pest Management Guidelines | 冬季设施蔬菜主要病虫害综合防控技术指导意见	https://ipm.ucanr.edu/agriculture/tomato/bacterial-speck/ | https://nyncj.beijing.gov.cn/nyj/zwgk/ztgk/zwbhxx/543453437/index.html	UC Statewide IPM Program | 北京市农业农村局	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄细菌性斑点病	重度	番茄细菌性斑点病-重度	knowledge\baidu-baike-20260818\documents\05.md	### 重度	C6D84098E3F31E4D52B4893F89A3137A9EE2F166956C202AFD9AE8EF9DD5FDBF	07-T1; 07-T2	Bacterial Speck / Tomato / Agriculture: Pest Management Guidelines | 冬季设施蔬菜主要病虫害综合防控技术指导意见	https://ipm.ucanr.edu/agriculture/tomato/bacterial-speck/ | https://nyncj.beijing.gov.cn/nyj/zwgk/ztgk/zwbhxx/543453437/index.html	UC Statewide IPM Program | 北京市农业农村局	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄晚疫病	轻度	番茄晚疫病-轻度	knowledge\baidu-baike-20260818\documents\06.md	### 轻度	42186E498436C1F4BB13056C2D17E5445A6C4F8783425244A8CE44C8FA035531	06-T1; 06-T2	园艺作物应对高温暴雨洪涝生产技术指导意见 | 2025年园艺作物重大病虫害防控技术方案	https://zzys.moa.gov.cn/gdxw/202007/t20200710_6348404.htm | https://www.agri.cn/sc/nszd/202502/t20250228_8758865.htm	农业农村部种植业管理司 | 中国农业农村信息网 / 全国农技中心	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
